Ntexto,Palabra,Polaridad
0,stayed,positive
0,one,positive
0,night,positive
0,getaway,positive
0,family,positive
0,thursday,positive
0,triple,positive
0,aaa,positive
0,rate,positive
0,173,positive
0,steal,positive
0,7th,positive
0,floor,positive
0,room,positive
0,complete,positive
0,44in,positive
0,plasma,positive
0,tv,positive
0,bose,positive
0,stereo,positive
0,voss,positive
0,evian,positive
0,water,positive
0,gorgeous,positive
0,bathroom,positive
0,tub,positive
0,fine,positive
0,us,positive
0,concierge,positive
0,helpful,positive
0,cannot,positive
0,beat,positive
0,location,positive
0,flaw,positive
0,breakfast,positive
0,pricey,positive
0,service,positive
0,slow,positive
0,2hours,positive
0,four,positive
0,kids,positive
0,four,positive
0,adults,positive
0,friday,positive
0,morning,positive
0,even,positive
0,though,positive
0,two,positive
0,tables,positive
0,restaurant,positive
0,food,positive
0,good,positive
0,worth,positive
0,wait,positive
0,would,positive
0,return,positive
0,heartbeat,positive
0,gem,positive
0,chicago,positive
1,triple,positive
1,rate,positive
1,upgrade,positive
1,view,positive
1,room,positive
1,less,positive
1,200,positive
1,also,positive
1,included,positive
1,breakfast,positive
1,vouchers,positive
1,great,positive
1,view,positive
1,river,positive
1,lake,positive
1,wrigley,positive
1,bldg,positive
1,tribune,positive
1,bldg,positive
1,major,positive
1,restaurants,positive
1,shopping,positive
1,sightseeing,positive
1,attractions,positive
1,within,positive
1,walking,positive
1,distance,positive
1,large,positive
1,room,positive
1,comfortable,positive
1,bed,positive
2,comes,positive
2,little,positive
2,late,positive
2,finally,positive
2,catching,positive
2,reviews,positive
2,past,positive
2,several,positive
2,months,positive
2,dear,positive
2,friend,positive
2,stayed,positive
2,hyatt,positive
2,regency,positive
2,late,positive
2,october,positive
2,2007,positive
2,one,positive
2,night,positive
2,visiting,positive
2,friend,positive
2,husband,positive
2,town,positive
2,hotel,positive
2,perfect,positive
2,imo,positive
2,easy,positive
2,check,positive
2,check,positive
2,lovely,positive
2,clean,positive
2,comfortable,positive
2,rooms,positive
2,great,positive
2,views,positive
2,city,positive
2,know,positive
2,area,positive
2,pretty,positive
2,well,positive
2,convenient,positive
2,many,positive
2,downtown,positive
2,chicago,positive
2,attractions,positive
2,dinner,positive
2,went,positive
2,clubing,positive
2,friends,positive
2,around,positive
2,division,positive
2,st,positive
2,problems,positive
2,getting,positive
2,cabs,positive
2,back,positive
2,forth,positive
2,hyatt,positive
2,even,positive
2,public,positive
2,transportation,positive
2,right,positive
2,near,positive
2,bother,positive
2,since,positive
2,needed,positive
2,cabs,positive
2,hotel,positive
2,parking,positive
2,usual,positive
2,chicago,positive
2,expensive,positive
2,able,positive
2,get,positive
2,car,positive
2,quickly,positive
2,however,positive
2,left,positive
2,sunday,positive
2,morning,positive
2,exactly,positive
2,high,positive
2,traffic,positive
2,time,positive
2,although,positive
2,bears,positive
2,homegame,positive
2,day,positive
2,bit,positive
2,busier,positive
2,usual,positive
2,would,positive
2,think,positive
2,problems,positive
2,best,positive
2,part,positive
2,got,positive
2,rate,positive
2,100,positive
2,hotwire,positive
2,downright,positive
2,steal,positive
2,area,positive
2,chicago,positive
2,quality,positive
2,hotel,positive
3,omni,positive
3,chicago,positive
3,really,positive
3,delivers,positive
3,fronts,positive
3,spaciousness,positive
3,rooms,positive
3,helpful,positive
3,staff,positive
3,prized,positive
3,location,positive
3,michigan,positive
3,avenue,positive
3,address,positive
3,chicago,positive
3,requires,positive
3,high,positive
3,level,positive
3,quality,positive
3,omni,positive
3,delivers,positive
3,check,positive
3,whole,positive
3,group,positive
3,people,positive
3,3,positive
3,minutes,positive
3,staff,positive
3,plentiful,positive
3,recommendations,positive
3,dining,positive
3,events,positive
3,rooms,positive
3,largest,positive
3,find,positive
3,price,positive
3,range,positive
3,chicago,positive
3,even,positive
3,standard,positive
3,room,positive
3,separate,positive
3,living,positive
3,area,positive
3,work,positive
3,desk,positive
3,fitness,positive
3,center,positive
3,free,positive
3,weights,positive
3,weight,positive
3,machines,positive
3,two,positive
3,rows,positive
3,cardio,positive
3,equipment,positive
3,shared,positive
3,room,positive
3,7,positive
3,others,positive
3,feel,positive
3,cramped,positive
3,way,positive
3,great,positive
3,property,positive
4,asked,positive
4,high,positive
4,floor,positive
4,away,positive
4,elevator,positive
4,got,positive
4,room,positive
4,pleasantly,positive
4,decorated,positive
4,functional,positive
4,clean,positive
4,need,positive
4,whole,positive
4,lot,positive
4,service,positive
4,pleasant,positive
4,prompt,positive
4,used,positive
4,fitness,positive
4,center,positive
4,well,positive
4,equipped,positive
4,everything,positive
4,working,positive
4,order,positive
4,great,positive
4,location,positive
4,one,positive
4,end,positive
4,michigan,positive
4,avenue,positive
4,shopping,positive
4,district,positive
5,stayed,positive
5,omni,positive
5,one,positive
5,night,positive
5,following,positive
5,business,positive
5,meeting,positive
5,another,positive
5,downtown,positive
5,chicago,positive
5,hotel,positive
5,completely,positive
5,impressed,positive
5,service,positive
5,personnel,positive
5,stay,positive
5,absolutely,positive
5,outstanding,positive
5,checked,positive
5,quite,positive
5,early,positive
5,problem,positive
5,efficiently,positive
5,checked,positive
5,room,positive
5,somewhat,positive
5,heavy,positive
5,scent,positive
5,air,positive
5,freshener,positive
5,negative,positive
5,entire,positive
5,stay,positive
5,managed,positive
5,reasonably,positive
5,well,positive
5,opening,positive
5,windows,positive
5,generally,positive
5,require,positive
5,much,positive
5,hotel,positive
5,stays,positive
5,suffice,positive
5,say,positive
5,doorman,positive
5,housekeeping,positive
5,night,positive
5,manager,positive
